fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.085,0,273.7937847610001,0,1,
0.425,1,195.51782034899952,0,2,
,1,,,,469.3841082879999
0.025,2,242.63994696400005,1,1,
0.19,3,218.81806849199984,1,2,
0.15,4,177.65880764299982,1,3,
0.285,5,204.91347106099965,1,4,
,5,,,,844.1094036479999
0.0,6,299.0355296460002,2,1,
0.2,7,234.94001787100024,2,2,
,7,,,,534.0442448809999
0.005,8,318.40948959400066,3,1,
0.13,9,233.42886946199997,3,2,
0.63,10,121.77208718899965,3,3,
,10,,,,673.6818310509998
0.25,11,268.2563570659995,4,1,
,11,,,,268.32220770099957
